BookID,PatronID,Title,FirstName,LastName,Email,LoanDate,DueDate
54,13,"The Yellow Wallpaper","Jobina","McKern","jmckernc@rouxacademy.org",2016-07-25,2016-08-08
199,85,"Anna Karenina","Sonnie","MatticcI","smatticci2c@rouxacademy.org",2016-07-27,2016-08-10
128,44,"The Picture of Dorian Gray","Davy","Neely","dneely17@hplussport.com",2016-07-27,2016-08-10
175,13,"The Time Machine","Jobina","McKern","jmckernc@rouxacademy.org",2016-07-28,2016-08-11
62,58,"Oliver Twist","Purcell","Llop","pllop1l@hplussport.com",2016-07-31,2016-08-14
184,59,"Ulysses","Cornelia","Koppe","ckoppe1m@landonhotel.com",2016-08-04,2016-08-18
78,37,"The Prophet","Jillane","Livingstone","jlivingstone10@wisdompets.com",2016-08-04,2016-08-18
49,16,"Alice's Adventures in Wonderland","Carla","Swinfen","cswinfenf@kinetecoinc.com",2016-08-05,2016-08-19
99,23,"Little Women","Amory","Bunyard","abunyardm@samoca.org",2016-08-05,2016-08-19
173,19,"Wuthering Heights","Amby","Harber","aharberi@hplussport.com",2016-08-05,2016-08-19
126,15,"The Awakening, and Selected Short Stories","Chance","Todeo","ctodeoe@wisdompets.com",2016-08-05,2016-08-19
22,44,"Adventures of Huckleberry Finn","Davy","Neely","dneely17@hplussport.com",2016-08-07,2016-08-21
144,100,"Pride and Prejudice","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-08-08,2016-08-22
91,46,"The Importance of Being Earnest: A Trivial Comedy for Serious People","Serge","Pethrick","spethrick19@rouxacademy.org",2016-08-08,2016-08-22
47,3,"Anne of Green Gables","Aleen","Fasey","afasey2@kinetecoinc.com",2016-08-09,2016-08-23
150,61,"The Secret Garden","Rubia","Fitzsymon","rfitzsymon1o@red30design.com",2016-08-09,2016-08-23
31,11,"Gulliver's Travels into Several Remote Nations of the World","Faina","Nelles","fnellesa@red30design.com",2016-08-09,2016-08-23
71,15,"A Tale of Two Cities","Chance","Todeo","ctodeoe@wisdompets.com",2016-08-10,2016-08-24
101,62,"Anna Karenina","Tybie","Balme","tbalme1p@orangevalleycaa.org",2016-08-10,2016-08-24
143,32,"Gulliver's Travels into Several Remote Nations of the World","Demetri","Iacobacci","diacobacciv@landonhotel.com",2016-08-11,2016-08-25
106,87,"Wuthering Heights","Junie","MacRury","jmacrury2e@wisdompets.com",2016-08-12,2016-08-26
144,30,"Pride and Prejudice","Emlyn","Attwool","eattwoolt@hplussport.com",2016-08-13,2016-08-27
23,11,"Great Expectations","Faina","Nelles","fnellesa@red30design.com",2016-08-13,2016-08-27
120,90,"Dubliners","Elmo","Ockland","eockland2h@landonhotel.com",2016-08-15,2016-08-29
26,35,"The Adventures of Sherlock Holmes","Luciano","Winton","lwintony@hplussport.com",2016-08-15,2016-08-29
139,99,"Peter Pan","Kala","Simonian","ksimonian2q@landonhotel.com",2016-08-16,2016-08-30
112,32,"The War of the Worlds","Demetri","Iacobacci","diacobacciv@landonhotel.com",2016-08-16,2016-08-30
112,48,"The War of the Worlds","Clementia","Furminger","cfurminger1b@kinetecoinc.com",2016-08-16,2016-08-30
71,38,"A Tale of Two Cities","Christyna","McGilroy","cmcgilroy11@landonhotel.com",2016-08-17,2016-08-31
83,29,"Emma","Herby","Aspinal","haspinals@red30design.com",2016-08-18,2016-09-01
122,40,"Metamorphosis","Angelique","Farnham","afarnham13@wisdompets.com",2016-08-19,2016-09-02
20,66,"Treasure Island","Gilbert","Dupoy","gdupoy1t@rouxacademy.org",2016-08-19,2016-09-02
22,29,"Adventures of Huckleberry Finn","Herby","Aspinal","haspinals@red30design.com",2016-08-20,2016-09-03
50,23,"Jane Eyre: An Autobiography","Amory","Bunyard","abunyardm@samoca.org",2016-08-25,2016-09-08
171,96,"The Call of the Wild","Melantha","Scowcroft","mscowcroft2n@kinetecoinc.com",2016-08-26,2016-09-09
189,65,"The Jungle Book","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-08-26,2016-09-09
75,10,"Moby Dick; Or, The Whale","Barbara-anne","Sweet","bsweet9@samoca.org",2016-08-26,2016-09-09
174,53,"A Modest Proposal","Perceval","Redpath","predpath1g@rouxacademy.org",2016-08-26,2016-09-09
185,84,"Don Quixote","Sianna","Drewell","sdrewell2b@kinetecoinc.com",2016-08-26,2016-09-09
184,4,"Ulysses","Taylor","Jenkins","tjenkins@rouxacademy.org",2016-08-28,2016-09-11
14,31,"The Awakening, and Selected Short Stories","Osgood","Saunter","osaunteru@red30design.com",2016-08-29,2016-09-12
59,61,"The War of the Worlds","Rubia","Fitzsymon","rfitzsymon1o@red30design.com",2016-08-30,2016-09-13
4,95,"The Adventures of Tom Sawyer","Lelah","Seathwright","lseathwright2m@samoca.org",2016-08-30,2016-09-13
112,94,"The War of the Worlds","Curr","Fittall","cfittall2l@orangevalleycaa.org",2016-09-01,2016-09-15
158,89,"Moby Dick; Or, The Whale","Ab","Jurn","ajurn2g@samoca.org",2016-09-01,2016-09-15
55,79,"An Occurrence at Owl Creek Bridge","Winslow","Klass","wklass26@kinetecoinc.com",2016-09-02,2016-09-16
185,37,"Don Quixote","Jillane","Livingstone","jlivingstone10@wisdompets.com",2016-09-02,2016-09-16
155,22,"The Prophet","Cassandre","Wragg","cwraggl@landonhotel.com",2016-09-03,2016-09-17
20,19,"Treasure Island","Amby","Harber","aharberi@hplussport.com",2016-09-03,2016-09-17
164,81,"The Hound of the Baskervilles","Gustave","Alphonso","galphonso28@wisdompets.com",2016-09-04,2016-09-18
145,14,"Oliver Twist","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-09-04,2016-09-18
98,79,"An Occurrence at Owl Creek Bridge","Winslow","Klass","wklass26@kinetecoinc.com",2016-09-05,2016-09-19
6,77,"A Modest Proposal","Viola","McLarnon","vmclarnon24@orangevalleycaa.org",2016-09-05,2016-09-19
58,100,"Grimms' Fairy Tales","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-09-05,2016-09-19
26,92,"The Adventures of Sherlock Holmes","Asher","Tapley","atapley2j@kinetecoinc.com",2016-09-06,2016-09-20
48,73,"The Hound of the Baskervilles","Merle","Sukbhans","msukbhans20@orangevalleycaa.org",2016-09-06,2016-09-20
95,24,"Also sprach Zarathustra","Carny","Scamp","cscampn@wisdompets.com",2016-09-06,2016-09-20
191,33,"Emma","Eloisa","Forster","eforsterw@wisdompets.com",2016-09-06,2016-09-20
200,61,"A Doll's House","Rubia","Fitzsymon","rfitzsymon1o@red30design.com",2016-09-07,2016-09-21
147,28,"The Adventures of Tom Sawyer","Culley","Cawood","ccawoodr@samoca.org",2016-09-07,2016-09-21
105,67,"The Turn of the Screw","Whitney","Lamberts","wlamberts1u@red30design.com",2016-09-07,2016-09-21
153,24,"Frankenstein; Or, The Modern Prometheus","Carny","Scamp","cscampn@wisdompets.com",2016-09-08,2016-09-22
50,80,"Jane Eyre: An Autobiography","Francisca","Cranmor","fcranmor27@wisdompets.com",2016-09-10,2016-09-24
183,42,"Little Women","Cleo","Goldwater","cgoldwater15@landonhotel.com",2016-09-11,2016-09-25
121,79,"The Mysterious Affair at Styles","Winslow","Klass","wklass26@kinetecoinc.com",2016-09-11,2016-09-25
178,34,"The Secret Garden","Carlin","Casterou","ccasteroux@landonhotel.com",2016-09-11,2016-09-25
36,77,"Great Expectations","Viola","McLarnon","vmclarnon24@orangevalleycaa.org",2016-09-11,2016-09-25
75,60,"Moby Dick; Or, The Whale","Olympia","Sansun","osansun1n@wisdompets.com",2016-09-12,2016-09-26
49,25,"Alice's Adventures in Wonderland","Paulie","Kinvig","pkinvigo@hplussport.com",2016-09-13,2016-09-27
2,9,"The Scarlet Letter","Carilyn","Calver","ccalver8@samoca.org",2016-09-13,2016-09-27
43,3,"The Yellow Wallpaper","Aleen","Fasey","afasey2@kinetecoinc.com",2016-09-14,2016-09-28
50,89,"Jane Eyre: An Autobiography","Ab","Jurn","ajurn2g@samoca.org",2016-09-16,2016-09-30
92,37,"Alice's Adventures in Wonderland","Jillane","Livingstone","jlivingstone10@wisdompets.com",2016-09-16,2016-09-30
87,38,"Frankenstein; Or, The Modern Prometheus","Christyna","McGilroy","cmcgilroy11@landonhotel.com",2016-09-16,2016-09-30
28,91,"Heart of Darkness","Iver","Palke","ipalke2i@rouxacademy.org",2016-09-19,2016-10-03
97,46,"The Life and Adventures of Robinson Crusoe","Serge","Pethrick","spethrick19@rouxacademy.org",2016-09-19,2016-10-03
128,86,"The Picture of Dorian Gray","Brandais","Jeannaud","bjeannaud2d@hplussport.com",2016-09-20,2016-10-04
104,57,"On the origin of species","Kahaleel","Keaton","kkeaton1k@kinetecoinc.com",2016-09-21,2016-10-05
18,89,"The Jungle Book","Ab","Jurn","ajurn2g@samoca.org",2016-09-21,2016-10-05
105,48,"The Turn of the Screw","Clementia","Furminger","cfurminger1b@kinetecoinc.com",2016-09-22,2016-10-06
101,16,"Anna Karenina","Carla","Swinfen","cswinfenf@kinetecoinc.com",2016-09-22,2016-10-06
184,41,"Ulysses","Lowrance","Gratton","lgratton14@hplussport.com",2016-09-22,2016-10-06
92,75,"Alice's Adventures in Wonderland","Bevvy","Harrowsmith","bharrowsmith22@red30design.com",2016-09-22,2016-10-06
6,16,"A Modest Proposal","Carla","Swinfen","cswinfenf@kinetecoinc.com",2016-09-23,2016-10-07
91,17,"The Importance of Being Earnest: A Trivial Comedy for Serious People","Lani","Over","loverg@wisdompets.com",2016-09-23,2016-10-07
80,46,"Jane Eyre: An Autobiography","Serge","Pethrick","spethrick19@rouxacademy.org",2016-09-24,2016-10-08
195,65,"Metamorphosis","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-09-24,2016-10-08
113,91,"On the origin of species","Iver","Palke","ipalke2i@rouxacademy.org",2016-09-24,2016-10-08
60,26,"Dracula","Taylor","Jenkins","tjenkins@redt30design.com",2016-09-25,2016-10-09
116,81,"The Brothers Karamazov","Gustave","Alphonso","galphonso28@wisdompets.com",2016-09-25,2016-10-09
86,9,"Siddhartha","Carilyn","Calver","ccalver8@samoca.org",2016-09-25,2016-10-09
135,79,"A Tale of Two Cities","Winslow","Klass","wklass26@kinetecoinc.com",2016-09-26,2016-10-10
48,55,"The Hound of the Baskervilles","Robbert","Walkowski","rwalkowski1i@kinetecoinc.com",2016-09-28,2016-10-12
29,47,"A Modest Proposal","Lydie","Awmack","lawmack1a@samoca.org",2016-09-28,2016-10-12
74,86,"The Strange Case of Dr. Jekyll and Mr. Hyde","Brandais","Jeannaud","bjeannaud2d@hplussport.com",2016-09-29,2016-10-13
114,31,"The Wonderful Wizard of Oz","Osgood","Saunter","osaunteru@red30design.com",2016-09-30,2016-10-14
58,29,"Grimms' Fairy Tales","Herby","Aspinal","haspinals@red30design.com",2016-09-30,2016-10-14
112,16,"The War of the Worlds","Carla","Swinfen","cswinfenf@kinetecoinc.com",2016-09-30,2016-10-14
83,25,"Emma","Paulie","Kinvig","pkinvigo@hplussport.com",2016-10-01,2016-10-15
75,90,"Moby Dick; Or, The Whale","Elmo","Ockland","eockland2h@landonhotel.com",2016-10-01,2016-10-15
27,100,"Wuthering Heights","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-10-02,2016-10-16
6,53,"A Modest Proposal","Perceval","Redpath","predpath1g@rouxacademy.org",2016-10-03,2016-10-17
67,26,"Les Misérables","Taylor","Jenkins","tjenkins@redt30design.com",2016-10-04,2016-10-18
14,9,"The Awakening, and Selected Short Stories","Carilyn","Calver","ccalver8@samoca.org",2016-10-05,2016-10-19
108,51,"Pascal's Pensées","Romeo","Annett","rannett1e@samoca.org",2016-10-08,2016-10-22
150,42,"The Secret Garden","Cleo","Goldwater","cgoldwater15@landonhotel.com",2016-10-08,2016-10-22
60,23,"Dracula","Amory","Bunyard","abunyardm@samoca.org",2016-10-09,2016-10-23
16,95,"Ulysses","Lelah","Seathwright","lseathwright2m@samoca.org",2016-10-09,2016-10-23
14,92,"The Awakening, and Selected Short Stories","Asher","Tapley","atapley2j@kinetecoinc.com",2016-10-09,2016-10-23
87,3,"Frankenstein; Or, The Modern Prometheus","Aleen","Fasey","afasey2@kinetecoinc.com",2016-10-09,2016-10-23
182,38,"Grimms' Fairy Tales","Christyna","McGilroy","cmcgilroy11@landonhotel.com",2016-10-10,2016-10-24
163,78,"The Mysterious Affair at Styles","Dorella","Linbohm","dlinbohm25@rouxacademy.org",2016-10-11,2016-10-25
143,44,"Gulliver's Travels into Several Remote Nations of the World","Davy","Neely","dneely17@hplussport.com",2016-10-13,2016-10-27
176,100,"The Jungle","Blythe","Leggan","bleggan2r@rouxacademy.org",2016-10-14,2016-10-28
44,69,"Pygmalion","Alaster","Ruggles","aruggles1w@red30design.com",2016-10-14,2016-10-28
96,21,"A Study in Scarlet","Henri","Pughe","hpughek@orangevalleycaa.org",2016-10-14,2016-10-28
89,72,"Walden, and On The Duty Of Civil Disobedience","Trip","Pond","tpond1z@wisdompets.com",2016-10-14,2016-10-28
126,15,"The Awakening, and Selected Short Stories","Chance","Todeo","ctodeoe@wisdompets.com",2016-10-15,2016-10-29
83,95,"Emma","Lelah","Seathwright","lseathwright2m@samoca.org",2016-10-18,2016-11-01
109,56,"Emma","Hagen","Itzhayek","hitzhayek1j@landonhotel.com",2016-10-18,2016-11-01
148,51,"War and Peace","Romeo","Annett","rannett1e@samoca.org",2016-10-19,2016-11-02
120,60,"Dubliners","Olympia","Sansun","osansun1n@wisdompets.com",2016-10-20,2016-11-03
118,88,"Adventures of Huckleberry Finn","Gus","Holyland","gholyland2f@red30design.com",2016-10-20,2016-11-03
169,90,"Second Treatise of Government","Elmo","Ockland","eockland2h@landonhotel.com",2016-10-20,2016-11-03
58,17,"Grimms' Fairy Tales","Lani","Over","loverg@wisdompets.com",2016-10-22,2016-11-05
49,44,"Alice's Adventures in Wonderland","Davy","Neely","dneely17@hplussport.com",2016-10-23,2016-11-06
163,98,"The Mysterious Affair at Styles","Clem","Durdy","cdurdy2p@hplussport.com",2016-10-23,2016-11-06
106,50,"Wuthering Heights","Jack","Vaan","jvaan@wisdompets.com",2016-10-23,2016-11-06
103,36,"Moby Dick; Or, The Whale","Allyson","Jira","ajiraz@wisdompets.com",2016-10-24,2016-11-07
54,87,"The Yellow Wallpaper","Junie","MacRury","jmacrury2e@wisdompets.com",2016-10-25,2016-11-08
178,58,"The Secret Garden","Purcell","Llop","pllop1l@hplussport.com",2016-10-25,2016-11-08
60,71,"Dracula","Winnah","D'Elia","wdelia1y@red30design.com",2016-10-25,2016-11-08
64,47,"A Study in Scarlet","Lydie","Awmack","lawmack1a@samoca.org",2016-10-26,2016-11-09
34,14,"The Tale of Peter Rabbit","Paco","Yarranton","pyarrantond@rouxacademy.org",2016-10-26,2016-11-09
41,58,"The Scarlet Letter","Purcell","Llop","pllop1l@hplussport.com",2016-10-27,2016-11-10
160,22,"The War of the Worlds","Cassandre","Wragg","cwraggl@landonhotel.com",2016-10-27,2016-11-10
90,81,"The Jungle","Gustave","Alphonso","galphonso28@wisdompets.com",2016-10-28,2016-11-11
69,65,"Siddhartha","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-10-29,2016-11-12
92,8,"Alice's Adventures in Wonderland","Steffie","Kleis","skleis7@wisdompets.com",2016-10-30,2016-11-13
72,25,"The Yellow Wallpaper","Paulie","Kinvig","pkinvigo@hplussport.com",2016-10-31,2016-11-14
44,16,"Pygmalion","Carla","Swinfen","cswinfenf@kinetecoinc.com",2016-11-01,2016-11-15
113,51,"On the origin of species","Romeo","Annett","rannett1e@samoca.org",2016-11-01,2016-11-15
149,20,"The Importance of Being Earnest: A Trivial Comedy for Serious People","Jacinta","Vallis","jvallisj@kinetecoinc.com",2016-11-03,2016-11-17
168,17,"Pascal's Pensées","Lani","Over","loverg@wisdompets.com",2016-11-04,2016-11-18
171,50,"The Call of the Wild","Jack","Vaan","jvaan@wisdompets.com",2016-11-04,2016-11-18
127,71,"David Copperfield","Winnah","D'Elia","wdelia1y@red30design.com",2016-11-05,2016-11-19
29,17,"A Modest Proposal","Lani","Over","loverg@wisdompets.com",2016-11-07,2016-11-21
3,35,"The Adventures of Sherlock Holmes","Luciano","Winton","lwintony@hplussport.com",2016-11-08,2016-11-22
145,2,"Oliver Twist","Javier","Dawks","jdawks1@red30design.com",2016-11-09,2016-11-23
163,4,"The Mysterious Affair at Styles","Taylor","Jenkins","tjenkins@rouxacademy.org",2016-11-09,2016-11-23
79,6,"A Study in Scarlet","Don","Weingarten","dweingarten@kinetecoinc.com",2016-11-09,2016-11-23
83,33,"Emma","Eloisa","Forster","eforsterw@wisdompets.com",2016-11-10,2016-11-24
186,88,"Pride and Prejudice","Gus","Holyland","gholyland2f@red30design.com",2016-11-10,2016-11-24
168,6,"Pascal's Pensées","Don","Weingarten","dweingarten@kinetecoinc.com",2016-11-12,2016-11-26
59,85,"The War of the Worlds","Sonnie","MatticcI","smatticci2c@rouxacademy.org",2016-11-13,2016-11-27
128,25,"The Picture of Dorian Gray","Paulie","Kinvig","pkinvigo@hplussport.com",2016-11-13,2016-11-27
20,90,"Treasure Island","Elmo","Ockland","eockland2h@landonhotel.com",2016-11-14,2016-11-28
29,86,"A Modest Proposal","Brandais","Jeannaud","bjeannaud2d@hplussport.com",2016-11-15,2016-11-29
121,33,"The Mysterious Affair at Styles","Eloisa","Forster","eforsterw@wisdompets.com",2016-11-16,2016-11-30
52,65,"David Copperfield","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-11-16,2016-11-30
84,65,"Tractatus Logico-Philosophicus","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-11-16,2016-11-30
129,55,"Also sprach Zarathustra","Robbert","Walkowski","rwalkowski1i@kinetecoinc.com",2016-11-17,2016-12-01
102,36,"Hard Times","Allyson","Jira","ajiraz@wisdompets.com",2016-11-18,2016-12-02
117,54,"The Time Machine","Ive","Iles","iiles1h@samoca.org",2016-11-18,2016-12-02
164,95,"The Hound of the Baskervilles","Lelah","Seathwright","lseathwright2m@samoca.org",2016-11-18,2016-12-02
180,99,"Frankenstein; Or, The Modern Prometheus","Kala","Simonian","ksimonian2q@landonhotel.com",2016-11-19,2016-12-03
34,98,"The Tale of Peter Rabbit","Clem","Durdy","cdurdy2p@hplussport.com",2016-11-19,2016-12-03
156,31,"The Life and Adventures of Robinson Crusoe","Osgood","Saunter","osaunteru@red30design.com",2016-11-19,2016-12-03
71,21,"A Tale of Two Cities","Henri","Pughe","hpughek@orangevalleycaa.org",2016-11-20,2016-12-04
86,41,"Siddhartha","Lowrance","Gratton","lgratton14@hplussport.com",2016-11-20,2016-12-04
112,65,"The War of the Worlds","Hayyim","Rossander","hrossander1s@wisdompets.com",2016-11-21,2016-12-05
14,55,"The Awakening, and Selected Short Stories","Robbert","Walkowski","rwalkowski1i@kinetecoinc.com",2016-11-21,2016-12-05
161,97,"The Prince","Herb","McParland","hmcparland2o@rouxacademy.org",2016-11-22,2016-12-06
185,90,"Don Quixote","Elmo","Ockland","eockland2h@landonhotel.com",2016-11-23,2016-12-07
88,13,"Ulysses","Jobina","McKern","jmckernc@rouxacademy.org",2016-11-24,2016-12-08
72,48,"The Yellow Wallpaper","Clementia","Furminger","cfurminger1b@kinetecoinc.com",2016-11-24,2016-12-08
4,91,"The Adventures of Tom Sawyer","Iver","Palke","ipalke2i@rouxacademy.org",2016-11-26,2016-12-10
60,24,"Dracula","Carny","Scamp","cscampn@wisdompets.com",2016-11-26,2016-12-10
58,52,"Grimms' Fairy Tales","Arlen","O'Fihillie","aofihillie1f@wisdompets.com",2016-11-27,2016-12-11
116,53,"The Brothers Karamazov","Perceval","Redpath","predpath1g@rouxacademy.org",2016-11-27,2016-12-11
178,70,"The Secret Garden","Loretta","Hundey","lhundey1x@kinetecoinc.com",2016-11-28,2016-12-12
